Cluster label,Disease nodes,SNOMED CT ID,Number of patients
6,Adenosine deaminase 2 deficiency (disorder),9.88E+17,1
6,Alstrom syndrome (disorder),63702009,1
6,Ataxia-telangiectasia syndrome (disorder),68504005,3
6,Acromesomelic dysplasia Maroteaux type (disorder),718559000,1
6,Autosomal dominant childhood-onset proximal spinal muscular atrophy (disorder),772129007,2
6,Autosomal dominant dyskeratosis congenita (disorder),707273001,2
6,Autosomal recessive limb girdle muscular dystrophy type 2D (disorder),715340002,1
6,Autoimmune lymphoproliferative syndrome due to cytotoxic T-lymphocyte associated protein 4 haploinsufficiency (disorder),1197361002,1
7,Lyme arthritis (disorder),33937009,3
8,Short bowel syndrome (disorder),26629001,3
8,Proctoptosis (disorder),111363006,1
8,Nonulcer dyspepsia (disorder),3696007,1
8,Malabsorption syndrome due to acquired intolerance to fructose (disorder),785704008,1
8,Malabsorption syndrome (disorder),32230006,2
8,Idiopathic achalasia of esophagus (disorder),715192004,1
8,Hiatal hernia (disorder),84089009,1
8,Functional bloating (disorder),722879009,1
8,Constipation - functional (disorder),197118003,1
8,Common bile duct calculus (disorder),307132003,1
8,Chronic steatorrhea (disorder),27868004,1
8,Chronic constipation (disorder),236069009,7
8,Celiac disease (disorder),396331005,68
8,Gastroesophageal reflux disease (disorder),235595009,2
9,Conjunctivitis (disorder),9826008,1
9,Punctate keratitis (disorder),42513006,1
9,Unexplained visual loss (disorder),421293001,1
9,Vogt-Koyanagi-Harada disease (disorder),193497004,1
10,Periodic fever and aphthous stomatitis with pharyngitis and cervical lymphadenitis syndrome (disorder),717231003,12
10,Recurrent infectious disease (disorder),4.52E+14,1
10,Recurrent acute tonsillitis (disorder),195677001,1
10,Eosinophilic esophagitis (disorder),235599003,4
10,"Behcet's syndrome, neurologic type (disorder)",21542005,1
10,Chronic nonbacterial osteomyelitis/chronic recurrent multifocal osteomyelitis (disorder),1204420006,9
10,Chronic inflammatory disorder (disorder),128294001,1
10,Chronic pancreatitis (disorder),235494005,1
10,Chronic mucoid otitis media (disorder),78868004,1
11,Vocal cord dysfunction (finding),134290008,1
11,Mixed obstructive and restrictive ventilatory defect (finding),428519006,1
11,Dyspnea (finding),267036007,1
11,Stenosis of trachea (disorder),11296007,1
11,Chronic lung disease (disorder),413839001,1
11,Asthma (disorder),195967001,7
11,Acute laryngotracheitis with obstruction (disorder),59967003,1
11,Cystic fibrosis (disorder),190905008,79
12,Immunoglobulin A deficiency (disorder),29260007,1
12,Sarcoidosis (disorder),31541009,1
12,"Polyglandular autoimmune syndrome, type 2 (disorder)",83728000,1
12,Myasthenia gravis (disorder),91637004,1
12,Isolated agammaglobulinemia (disorder),764858009,1
12,Immunoglobulin G4 deficiency (disorder),234549008,2
12,Immunoglobulin G1 deficiency (disorder),234550008,2
12,Immunoglobulin G deficiency (disorder),1.26E+13,7
12,Systemic lupus erythematosus (disorder),55464009,6
12,Immunodeficiency disorder (disorder),234532001,5
12,Diabetes mellitus type 1 (disorder),46635009,29
12,Deficiency of immunoglobulin A with immunoglobulin G subclass deficiency (disorder),840472009,4
12,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and functions (disorder),191011000,1
12,"Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency (disorder)",234633000,1
12,Autoinflammatory disease (disorder),4.21E+13,2
12,Autoimmune cholangitis (disorder),713654004,1
12,Allergy to cashew nut (disorder),712838009,1
12,Allergic reaction caused by peanut (disorder),1.59E+16,2
12,Allergic enterocolitis caused by food protein (disorder),737315000,1
12,Disorder of immune function (disorder),414029004,17
13,Pain in limb (finding),90834002,1
13,Joint pain (finding),57676002,2
13,Hip pain (finding),49218002,1
14,Vesicoureteric reflux (disorder),197811007,5
14,Urolithiasis (disorder),95566004,2
14,Urinary tract obstruction (disorder),7163005,2
14,Unilateral multicystic renal dysplasia (disorder),1187460003,13
14,Stenosis of ureter (disorder),95574003,9
14,Renal dysplasia (disorder),204949001,1
14,Persistent microscopic hematuria (disorder),281857003,5
14,Nephrocalcinosis (disorder),48638002,6
14,Nephroblastoma (disorder),302849000,2
14,Hydronephrosis (disorder),43064006,1
14,Kidney stone (disorder),95570007,1
14,Cyst of kidney (disorder),722223000,1
14,Double kidney (disorder),54967001,2
14,Agenesis of right kidney (disorder),762908000,5
14,Autosomal dominant polycystic kidney disease (disorder),765330003,4
14,Congenital hypoplasia of left kidney (disorder),762913001,1
14,Agenesis of left kidney (disorder),762907005,1
14,Congenital obstructive megaureter (disorder),373583002,4
14,Congenital pelvic kidney (disorder),56108007,1
14,Congenital posterior urethral valves (disorder),253900005,1
14,Congenital hypoplasia of right kidney (disorder),762914007,4
15,Ligase 4 syndrome (disorder),724177005,2
15,Somatization disorder (disorder),397923000,2
15,Small for gestational age fetus (disorder),267258002,2
15,Short stature due to partial growth hormone receptor deficiency (disorder),783098009,2
15,Short stature disorder (disorder),237836003,18
15,PTEN hamartoma tumor syndrome (disorder),722859001,1
15,Nijmegen breakage syndrome-like disorder (disorder),766753005,1
15,Immotile cilia syndrome (disorder),86204009,1
15,Psychogenic syncope (disorder),386572005,2
15,Global developmental delay (disorder),224958001,1
15,Gender identity disorder (disorder),87991007,1
15,Failure to thrive (disorder),54840006,3
15,Dissociative neurological symptom disorder (disorder),735541006,1
15,Developmental speech disorder (disorder),1145003,1
15,Developmental delay (disorder),248290002,3
15,Constitutional short stature (disorder),422065006,1
15,Coffin-Siris syndrome (disorder),10007009,1
15,Growth retardation (disorder),444896005,1
16,Arthropathy of knee joint (disorder),428724006,1
16,Juvenile osteochondrosis of tibial tubercle (disorder),72047008,1
17,Optic neuritis (disorder),66760008,1
17,"Spinal muscular atrophy, type II (disorder)",128212001,2
17,Psychogenic movement disorder (disorder),1197149002,1
17,Multiple sclerosis (disorder),24700007,3
17,Posthemorrhagic hydrocephalus (disorder),371116000,1
17,Kugelberg-Welander disease (disorder),54280009,1
17,Cerebral palsy (disorder),128188000,1
17,Episodic ataxia (disorder),421455009,1
17,Cerebral vasculitis (disorder),427020007,1
17,Benign intracranial hypertension (disorder),68267002,2
17,Autoimmune encephalitis (disorder),95643007,1
17,Acute disseminated encephalomyelitis (disorder),83942000,1
17,Guillain-Barre syndrome (disorder),40956001,2
18,Transplanted heart present (finding),739024006,1
18,Congestive cardiomyopathy (disorder),399020009,1
18,Hypoplastic left heart syndrome (disorder),62067003,1
18,Long QT syndrome (disorder),9651007,1
19,Laryngeal spasm (disorder),406444002,1
19,Hearing loss (disorder),15188001,1
19,Alport syndrome (disorder),770414008,1
20,Congenital hepatic fibrosis (disorder),79607001,1
20,Cyst of gallbladder (disorder),19286001,1
20,Disorder of liver (disorder),235856003,2
20,Inflammatory disease of liver (disorder),128241005,1
21,Thrombotic microangiopathy (disorder),126729006,1
21,Thrombosis of pelvic vein (disorder),95448006,1
21,Syncope (disorder),271594007,1
21,Renal artery stenosis (disorder),302233006,1
21,Portal hypertension (disorder),34742003,1
21,Thrombosis (disorder),439127006,3
21,Isolated primary Raynaud's phenomenon (disorder),361131008,1
21,"Hypertensive disorder, systemic arterial (disorder)",38341003,6
21,Cerebral venous sinus thrombosis (disorder),192759008,1
21,Lemierre syndrome (disorder),1231140009,1
21,Cerebral infarction due to embolism of middle cerebral artery (disorder),705128004,2
21,Cerebral arteritis (disorder),28366008,1
22,Gastritis caused by Helicobacter pylori (disorder),708164002,1
23,Neoplasm of pharynx (disorder),126685009,1
23,Recurrent aphthous stomatitis (disorder),722781002,3
23,Adenoid vegetations (disorder),195797002,1
24,Hypofibrinogenemia (disorder),234457009,1
24,von Willebrand disorder (disorder),128105004,6
24,Thrombophilia (disorder),234467004,1
24,Protein S deficiency disease (disorder),1563006,2
24,Protein C deficiency disease (disorder),76407009,2
24,Platelet disorder (disorder),22716005,4
24,Platelet dense granule deficiency (disorder),9417000,1
24,Lupus anticoagulant disorder (disorder),19267009,3
24,Hereditary von Willebrand disease type 2A (disorder),359711001,2
24,Antithrombin III deficiency (disorder),36351005,5
24,Hereditary thrombophilia (disorder),439698008,4
24,Hemophilia B (disorder),41788008,6
24,Hemophilia A (disorder),28293008,19
24,Factor XIII deficiency disease (disorder),18604004,1
24,Factor X deficiency (disorder),76642003,1
24,Factor VII deficiency (disorder),37193007,13
24,Factor V deficiency (disorder),4320005,1
24,Afibrinogenemia (disorder),278504009,1
24,Hereditary von Willebrand disease type 1 (disorder),128106003,11
25,"Mesangiocapillary glomerulonephritis, type I (disorder)",75888001,2
25,Tubulointerstitial nephritis with uveitis syndrome (disorder),418839003,1
25,Recurrent urinary tract infection (disorder),197927001,2
25,Non-obstructive reflux-associated chronic pyelonephritis (disorder),197764002,11
25,IgA nephropathy (disorder),236407003,2
25,Minimal change disease (disorder),44785005,1
25,Alport syndrome autosomal dominant (disorder),717766000,1
25,Acute tubulointerstitial nephritis (disorder),28637003,1
25,Acute pyelonephritis (disorder),36689008,3
25,Acute glomerulonephritis due to and following streptococcal infection (disorder),68544003,1
25,Henoch-Schönlein nephritis (disorder),236504007,4
26,Vitamin K deficiency (disorder),52675005,1
26,Tumor necrosis factor receptor-associated periodic fever syndrome (disorder),403833009,1
26,Retinal pigment epithelial hyperplasia (disorder),424956000,1
26,Lipoprotein (a) hyperlipoproteinemia (disorder),1264212004,2
26,Increased frequency of urination (finding),162116003,1
26,Hypercholesterolemia (disorder),13644009,1
26,History of nephrectomy (situation),6.15E+13,1
26,History of bone marrow transplant (situation),2.63E+12,6
26,History of - thrombosis (situation),275546001,2
26,Familial short stature (finding),432526008,1
26,Familial hypercholesterolemia (disorder),398036000,1
26,Enterobiasis (disorder),266162007,1
26,Constitutional tall stature (finding),237835004,1
26,At increased risk of venous thromboembolus (finding),427631000,1
26,Aptyalism (disorder),87715008,1
26,Fever (finding),386661006,1
27,Abdominal pain (finding),21522001,2
27,Functional abdominal pain syndrome (disorder),449890002,10
28,Systemic onset juvenile chronic arthritis (disorder),201796004,1
28,Juvenile seronegative polyarthritis (disorder),410797009,3
28,Juvenile psoriatic arthritis (disorder),239802003,2
28,"Juvenile idiopathic arthritis, enthesitis related arthritis (disorder)",410801005,1
28,"Juvenile idiopathic arthritis, extended oligoarthritis (disorder)",410800006,1
28,Arthritis (disorder),3723001,1
28,"Juvenile idiopathic arthritis, oligoarthritis (disorder)",410798004,8
29,Atresia of the esophagus without tracheoesophageal fistula (disorder),717835002,1
29,Congenital aganglionic megacolon (disorder),204739008,2
29,Congenital anomaly of intestinal tract (disorder),126764002,1
29,Congenital omphalocele (disorder),18735004,1
29,Sigmoid volvulus (disorder),197060001,1
30,Recurrent bleeding of nose (disorder),2.57E+12,1
30,Obstructive sleep apnea syndrome (disorder),78275009,2
30,Migraine (disorder),37796009,4
30,Idiopathic diabetes insipidus (disorder),77274005,2
30,Headache disorder (disorder),230461009,5
30,Chronic pain syndrome (disorder),373621006,3
30,Chronic fatigue syndrome (disorder),52702003,2
30,Complex regional pain syndrome (disorder),128200000,1
31,Arthritis of finger of bilateral hand (disorder),1.07E+15,1
31,Exostosis (disorder),416189003,2
31,Fasciitis (disorder),36948007,1
31,Osteoid osteoma (disorder),302859004,1
32,Idiopathic congenital hypothyroidism (disorder),717334008,2
32,Premature adrenarche (finding),103021001,1
32,Hashimoto thyroiditis (disorder),21983002,6
32,Hypothyroidism (disorder),40930008,3
32,Goiter (disorder),3716002,1
32,Graves' disease (disorder),353295004,2
32,Central hypothyroidism (disorder),26692000,1
32,Autoimmune thyroiditis (disorder),66944004,1
33,Thalamic infarction (disorder),427296003,1
33,Rasmussen syndrome (disorder),230191005,1
33,Juvenile absence epilepsy (disorder),230413002,1
33,Generalized epilepsy (disorder),19598007,1
33,Focal epilepsy (disorder),230381009,4
33,Epilepsia partialis continua (disorder),241006,1
33,Dissociative convulsions (disorder),191714002,1
33,Cerebral infarction (disorder),432504007,2
33,Cerebellar infarction (disorder),95460007,1
33,Epilepsy (disorder),84757009,1
34,Optic nerve glioma (disorder),254976006,1
34,Tuberous sclerosis syndrome (disorder),7199000,2
34,Thyroid adenoma (disorder),255033000,1
34,Prolactinoma (disorder),134209002,1
34,Neuroblastoma (disorder),432328008,1
34,Craniopharyngioma (disorder),189179009,3
34,Malignant epithelial neoplasm of thyroid (disorder),448216007,1
34,Hemangioendothelioma of liver (disorder),427744002,1
34,Hamartoma of brain (disorder),277369003,1
34,Ependymoma (disorder),443643007,1
34,Medulloblastoma (disorder),443333004,1
35,Rhizomelic dysplasia (disorder),1263463009,1
35,XXYY syndrome (disorder),403760006,1
35,XXXY syndrome (disorder),78317008,1
35,Septo-optic dysplasia sequence (disorder),7611002,1
35,Prader-Willi syndrome (disorder),89392001,12
35,22q11.2 deletion syndrome (disorder),767263007,7
35,Occult spinal dysraphism sequence (disorder),70534000,1
35,Distal partial deletion of long arm of chromosome 11 (disorder),715438008,1
35,Complete trisomy 21 syndrome (disorder),41040004,3
35,Cat eye syndrome (disorder),26445008,1
35,Pituitary stalk interruption syndrome (disorder),715727009,1
36,Venous malformation (disorder),234124003,2
36,Congenital vascular malformation (disorder),400159008,1
36,Venous-lymphatic malformation (disorder),234134007,1
36,Anomalous origin of left pulmonary artery from right pulmonary artery (disorder),253638007,1
36,Congenital anomaly of blood vessel of lower limb (disorder),449871005,1
37,"X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)",724276006,1
37,Shwachman syndrome (disorder),89454001,5
37,Renal phosphaturia (disorder),85487008,1
37,Renal dysplasia and retinal aplasia (disorder),236531005,1
37,Pseudohypoaldosteronism (disorder),77098009,1
37,"Primary hyperoxaluria, type I (disorder)",65520001,1
37,Nephrogenic diabetes insipidus (disorder),111395007,1
37,"Maturity-onset diabetes of the young, type 4 (disorder)",609571007,1
37,Glycogen storage disease due to muscle phosphorylase kinase deficiency (disorder),819953000,1
37,Glucocorticoid deficiency with achalasia (disorder),45414006,2
37,Gilbert's syndrome (disorder),27503000,1
37,Familial hyperreninemic hypoaldosteronism type 1A (disorder),1217075009,1
37,Dubin-Johnson syndrome (disorder),44553005,1
37,Distal renal tubular acidosis (disorder),236461000,1
37,"Congenital adrenal hypoplasia, X-linked (disorder)",237764004,1
37,Bartter syndrome (disorder),707742001,1
37,Autosomal recessive infantile hypercalcemia (disorder),771445001,1
37,Adrenogenital disorder (disorder),267395000,22
37,Adrenal cortical hypofunction (disorder),386584007,2
37,Gitelman syndrome (disorder),707756004,3
38,Regional ileocolitis (disorder),196983007,1
38,Inflammatory bowel disease (disorder),24526004,5
38,Indeterminate colitis (disorder),235746007,4
38,Gastritis (disorder),4556007,1
38,Crohn's disease (disorder),34000006,25
38,Chronic ulcerative pancolitis (disorder),442159003,5
38,Chronic ulcerative colitis (disorder),444546002,16
38,Eosinophilic colitis (disorder),29120000,2
39,Acute bronchitis (disorder),10509002,1
39,Chronic bronchitis (disorder),63480004,2
39,Empyema of pleura (disorder),58554001,1
39,Middle lobe syndrome (disorder),28295001,1
39,Pneumonia (disorder),233604007,2
39,Recurrent lower respiratory tract infection (disorder),448739000,6
40,Nephritic syndrome (disorder),7724006,1
40,Steroid-resistant nephrotic syndrome (disorder),236381000,1
40,Steroid-dependent nephrotic syndrome (disorder),236382007,5
40,Nephrotic syndrome (disorder),52254009,1
40,Idiopathic steroid-resistant nephrotic syndrome (disorder),1260194003,1
40,Acute kidney injury (disorder),14669001,2
40,Familial hematuria (disorder),399094007,2
40,Elevated liver enzymes level (finding),707724006,1
40,Chronic kidney disease stage 3 (disorder),433144002,4
40,Chronic kidney disease stage 2 (disorder),431856006,4
40,Hemolytic uremic syndrome (disorder),111407006,6
41,Inactive tuberculosis (disorder),11999007,1
41,Multisystem inflammatory syndrome in children (disorder),895448002,1
41,Scedosporiosis (disorder),1217227009,1
41,Sepsis (disorder),91302008,1
42,Hodgkin's disease (disorder),118599009,1
42,Familial hemophagocytic lymphohistiocytosis (disorder),398250003,1
42,Acute myeloid leukemia (disorder),91861009,2
42,Autoimmune lymphoproliferative syndrome (disorder),702444009,2
42,Chronic myeloid leukemia (disorder),92818009,1
43,Lymphangitis (disorder),1415005,1
43,Acute febrile mucocutaneous lymph node syndrome (disorder),75053002,1
43,Lymphadenopathy (disorder),30746006,2
43,Lymphangioma (disorder),400178008,1
43,Tuberculous adenitis (disorder),10893003,1
